1	7	23	0	0
1	7	24	0	0
1	8	1	0	0
1	8	2	0	0
1	8	3	0	0
1	8	4	0	0
1	8	5	0	0
1	8	6	0	0
1	8	7	0	0
1	8	8	36	20
1	8	9	161	90
1	8	10	297	119
1	8	11	410	119
1	8	12	473	111
1	8	13	473	111
1	8	14	410	119
1	8	15	297	119
1	8	16	161	90
1	8	17	36	20
1	8	18	0	0
1	8	19	0	0
1	8	20	0	0
1	8	21	0	0
1	8	22	0	0
1	8	23	0	0
1	8	24	0	0
1	9	1	0	0
1	9	2	0	0
1	9	3	0	0
1	9	4	0	0
1	9	5	0	0
1	9	6	0	0
1	9	7	0	0
1	9	8	37	18
1	9	9	152	87
1	9	10	297	106
1	9	11	388	127
1	9	12	439	135
1	9	13	459	114
1	9	14	356	157
1	9	15	296	106
1	9	16	163	78
1	9	17	37	18
1	9	18	0	0
1	9	19	0	0
1	9	20	0	0
1	9	21	0	0
1	9	22	0	0
1	9	23	0	0
1	9	24	0	0
1	10	1	0	0
1	10	2	0	0
1	10	3	0	0
1	10	4	0	0
1	10	5	0	0
1	10	6	0	0
1	10	7	0	0
1	10	8	38	22
1	10	9	165	93
1	10	10	302	121
1	10	11	415	120
1	10	12	479	112
1	10	13	479	112
1	10	14	415	120
1	10	15	302	121
1	10	16	165	93
1	10	17	38	22
1	10	18	0	0
1	10	19	0	0
1	10	20	0	0
1	10	21	0	0
1	10	22	0	0
1	10	23	0	0
1	10	24	0	0
1	11	1	0	0
1	11	2	0	0
1	11	3	0	0
1	11	4	0	0
1	11	5	0	0
1	11	6	0	0
1	11	7	0	0
1	11	8	39	16
1	11	9	107	75
1	11	10	143	101
1	11	11	296	169
1	11	12	482	79
1	11	13	346	181
1	11	14	272	172
1	11	15	207	135
1	11	16	78	56
1	11	17	34	19
1	11	18	0	0
1	11	19	0	0
1	11	20	0	0
1	11	21	0	0
1	11	22	0	0
1	11	23	0	0
1	11	24	0	0
